#   2 + 116Sn elastic scattering Elab=183 Mev
# --------- Potential Spin-orbit for projectile and multipole = 0 ---------  
#     r(fm)       V(MeV)       W(MeV)
       6.20        -0.1754     0.0000E+00
       6.21        -0.1746     0.0000E+00
       6.22        -0.1739     0.0000E+00
       6.23        -0.1732     0.0000E+00
       6.24        -0.1724     0.0000E+00
       6.25        -0.1717     0.0000E+00
       6.26        -0.1709     0.0000E+00
       6.27        -0.1702     0.0000E+00
       6.28        -0.1694     0.0000E+00
       6.29        -0.1687     0.0000E+00
       6.30        -0.1679     0.0000E+00
       6.31        -0.1672     0.0000E+00
       6.32        -0.1664     0.0000E+00
       6.33        -0.1657     0.0000E+00
       6.34        -0.1649     0.0000E+00
       6.35        -0.1641     0.0000E+00
       6.36        -0.1634     0.0000E+00
       6.37        -0.1626     0.0000E+00
       6.38        -0.1618     0.0000E+00
       6.39        -0.1611     0.0000E+00
       6.40        -0.1603     0.0000E+00
       6.41        -0.1595     0.0000E+00
       6.42        -0.1588     0.0000E+00
       6.43        -0.1580     0.0000E+00
       6.44        -0.1572     0.0000E+00
       6.45        -0.1564     0.0000E+00
       6.46        -0.1556     0.0000E+00
       6.47        -0.1549     0.0000E+00
       6.48        -0.1541     0.0000E+00
       6.49        -0.1533     0.0000E+00
       6.50        -0.1525     0.0000E+00
       6.51        -0.1517     0.0000E+00
       6.52        -0.1510     0.0000E+00
       6.53        -0.1502     0.0000E+00
       6.54        -0.1494     0.0000E+00
       6.55        -0.1486     0.0000E+00
       6.56        -0.1478     0.0000E+00
       6.57        -0.1470     0.0000E+00
       6.58        -0.1463     0.0000E+00
       6.59        -0.1455     0.0000E+00
       6.60        -0.1447     0.0000E+00
       6.61        -0.1439     0.0000E+00
       6.62        -0.1431     0.0000E+00
       6.63        -0.1423     0.0000E+00
       6.64        -0.1416     0.0000E+00
       6.65        -0.1408     0.0000E+00
       6.66        -0.1400     0.0000E+00
       6.67        -0.1392     0.0000E+00
       6.68        -0.1384     0.0000E+00
       6.69        -0.1376     0.0000E+00
       6.70        -0.1369     0.0000E+00
       6.71        -0.1361     0.0000E+00
       6.72        -0.1353     0.0000E+00
       6.73        -0.1345     0.0000E+00
       6.74        -0.1337     0.0000E+00
       6.75        -0.1330     0.0000E+00
       6.76        -0.1322     0.0000E+00
       6.77        -0.1314     0.0000E+00
       6.78        -0.1306     0.0000E+00
       6.79        -0.1299     0.0000E+00
       6.80        -0.1291     0.0000E+00
       6.81        -0.1283     0.0000E+00
       6.82        -0.1276     0.0000E+00
       6.83        -0.1268     0.0000E+00
       6.84        -0.1260     0.0000E+00
       6.85        -0.1253     0.0000E+00
       6.86        -0.1245     0.0000E+00
       6.87        -0.1237     0.0000E+00
       6.88        -0.1230     0.0000E+00
       6.89        -0.1222     0.0000E+00
       6.90        -0.1214     0.0000E+00
