#   2H + 116Sn elastic scattering Elab=183 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       6.79       -23.1657       -13.9668
       6.80       -23.0230       -13.9374
       6.81       -22.8799       -13.9079
       6.82       -22.7364       -13.8781
       6.83       -22.5923       -13.8482
       6.84       -22.4478       -13.8180
       6.85       -22.3028       -13.7875
       6.86       -22.1574       -13.7569
       6.87       -22.0115       -13.7260
       6.88       -21.8653       -13.6950
       6.89       -21.7186       -13.6637
       6.90       -21.5715       -13.6321
       6.91       -21.4240       -13.6004
       6.92       -21.2762       -13.5684
       6.93       -21.1280       -13.5362
       6.94       -20.9794       -13.5038
       6.95       -20.8305       -13.4712
       6.96       -20.6812       -13.4383
       6.97       -20.5316       -13.4052
       6.98       -20.3818       -13.3719
       6.99       -20.2316       -13.3384
       7.00       -20.0811       -13.3047
       7.01       -19.9303       -13.2707
       7.02       -19.7793       -13.2365
       7.03       -19.6280       -13.2021
       7.04       -19.4765       -13.1674
       7.05       -19.3248       -13.1326
       7.06       -19.1728       -13.0975
       7.07       -19.0206       -13.0622
       7.08       -18.8683       -13.0267
       7.09       -18.7157       -12.9909
       7.10       -18.5630       -12.9550
       7.11       -18.4101       -12.9188
       7.12       -18.2571       -12.8824
       7.13       -18.1040       -12.8458
       7.14       -17.9507       -12.8089
       7.15       -17.7973       -12.7719
       7.16       -17.6439       -12.7346
       7.17       -17.4903       -12.6971
       7.18       -17.3367       -12.6594
       7.19       -17.1830       -12.6215
       7.20       -17.0293       -12.5833
       7.21       -16.8755       -12.5450
       7.22       -16.7218       -12.5064
       7.23       -16.5680       -12.4676
       7.24       -16.4142       -12.4286
       7.25       -16.2605       -12.3895
       7.26       -16.1068       -12.3500
       7.27       -15.9531       -12.3104
       7.28       -15.7995       -12.2706
       7.29       -15.6459       -12.2306
       7.30       -15.4925       -12.1904
       7.31       -15.3391       -12.1499
       7.32       -15.1859       -12.1093
       7.33       -15.0327       -12.0685
       7.34       -14.8797       -12.0274
       7.35       -14.7269       -11.9862
       7.36       -14.5742       -11.9448
       7.37       -14.4217       -11.9031
       7.38       -14.2693       -11.8613
       7.39       -14.1172       -11.8193
       7.40       -13.9653       -11.7771
       7.41       -13.8136       -11.7347
       7.42       -13.6621       -11.6921
       7.43       -13.5109       -11.6493
       7.44       -13.3599       -11.6064
       7.45       -13.2092       -11.5633
       7.46       -13.0588       -11.5199
       7.47       -12.9086       -11.4764
       7.48       -12.7588       -11.4328
       7.49       -12.6093       -11.3889
       7.50       -12.4601       -11.3449
       7.51       -12.3113       -11.3007
       7.52       -12.1628       -11.2563
       7.53       -12.0147       -11.2118
       7.54       -11.8669       -11.1671
       7.55       -11.7196       -11.1223
       7.56       -11.5726       -11.0773
       7.57       -11.4260       -11.0321
       7.58       -11.2799       -10.9867
       7.59       -11.1342       -10.9413
       7.60       -10.9889       -10.8956
       7.61       -10.8440       -10.8498
       7.62       -10.6996       -10.8039
       7.63       -10.5558       -10.7578
       7.64       -10.4123       -10.7116
       7.65       -10.2694       -10.6652
       7.66       -10.1269       -10.6187
       7.67        -9.9850       -10.5721
       7.68        -9.8436       -10.5253
       7.69        -9.7027       -10.4784
       7.70        -9.5623       -10.4314
       7.71        -9.4225       -10.3843
       7.72        -9.2833       -10.3370
       7.73        -9.1446       -10.2896
       7.74        -9.0065       -10.2421
       7.75        -8.8689       -10.1945
       7.76        -8.7320       -10.1468
       7.77        -8.5956       -10.0989
       7.78        -8.4598       -10.0510
       7.79        -8.3247       -10.0030
       7.80        -8.1902        -9.9548
       7.81        -8.0563        -9.9066
       7.82        -7.9230        -9.8583
       7.83        -7.7904        -9.8099
       7.84        -7.6584        -9.7614
       7.85        -7.5271        -9.7128
       7.86        -7.3964        -9.6641
       7.87        -7.2664        -9.6154
       7.88        -7.1371        -9.5666
